Titulo;Paragrafo;;Fonte;Link;Data_acesso;Termo
colo do útero;"colo do útero, região mais baixa do útero; fixa o útero à vagina e fornece uma passagem entre a cavidade vaginal e a cavidade uterina. o colo do útero, com apenas cerca de 4 centímetros (1,6 polegadas) de comprimento, projeta-se cerca de 2 centímetros na cavidade vaginal superior.";;Enciclopédia Britânica;https://www.britannica.com/science/cervix;Acesso em maio de 2024;cervix
Cílio;;;Enciclopédia Britânica;https://www.britannica.com/science/eyelash;Acesso em maio de 2024;eyelash
clitóris;clitóris, órgão erógeno feminino capaz de ereção sob estimulação sexual. homólogo feminino do pênis masculino, o clitóris se desenvolve (assim como o pênis) a partir do tubérculo genital do feto e desempenha um papel importante na resposta sexual feminina.;;Enciclopédia Britânica;https://www.britannica.com/science/clitoris;Acesso em maio de 2024;clitoris
cóclea;;;Enciclopédia Britânica;https://www.britannica.com/science/cochlea;Acesso em maio de 2024;cochlea
coração;nos humanos, o coração está situado entre os dois pulmões e ligeiramente à esquerda do centro, atrás do esterno. apoia-se no diafragma, a partição muscular entre o tórax e a cavidade abdominal.;;Enciclopédia Britânica;https://www.britannica.com/science/heart;Acesso em maio de 2024;heart
córnea;córnea, membrana transparente em forma de cúpula com cerca de 12 mm (0,5 polegada) de diâmetro que cobre a parte frontal do olho. exceto nas margens, a córnea não contém vasos sanguíneos, mas contém muitos nervos e é muito sensível à dor ou ao toque.;;Enciclopédia Britânica;https://www.britannica.com/science/cornea;Acesso em maio de 2024;cornea
sêmen;sêmen, fluido que é emitido pelo trato reprodutor masculino e que contém espermatozoides, que são capazes de fertilizar os óvulos da fêmea. o sêmen também contém líquidos que se combinam para formar o plasma seminal, o que ajuda a manter os espermatozoides viáveis.;;Enciclopédia Britânica;https://www.britannica.com/science/semen;Acesso em maio de 2024;semen
septo;;;Enciclopédia Britânica;https://www.britannica.com/science/septum;Acesso em maio de 2024;septum
sacro;sacro, osso triangular em forma de cunha na base da coluna vertebral, acima das vértebras caudais (cauda), ou cóccix, que se articula (conecta) com a cintura pélvica. nos humanos é geralmente composto por cinco vértebras, que se fundem no início da idade adulta.;;Enciclopédia Britânica;https://www.britannica.com/science/sacrum;Acesso em maio de 2024;sacrum
seio;"seio, em anatomia, uma cavidade, cavidade, recesso ou bolsa; um grande canal contendo sangue; um trato supurante; ou uma cavidade dentro de um osso. dois tipos de seios da face, os seios cheios de sangue e os seios cheios de ar, são discutidos neste artigo.";;Enciclopédia Britânica;https://www.britannica.com/science/sinus;Acesso em maio de 2024;sinus
tálamo;tálamo, um par de grandes órgãos ovóides que formam a maior parte das paredes laterais do terceiro ventrículo do cérebro. o tálamo traduz impulsos neurais de vários receptores para o córtex cerebral.;;Enciclopédia Britânica;https://www.britannica.com/science/thalamus;Acesso em maio de 2024;thalamus
hipocampo;"hipocampo, região do cérebro associada principalmente à memória. o nome hipocampo é derivado do grego hippokampus (hipopótamos, que significa ""cavalo"", e kampos, que significa ""monstro marinho""), uma vez que o formato da estrutura lembra o de um cavalo-marinho.";;Enciclopédia Britânica;https://www.britannica.com/science/hippocampus;Acesso em maio de 2024;hippocampus
tíbia;tíbia, interno e maior dos dois ossos da perna nos vertebrados - o outro é a fíbula. nos humanos, a tíbia forma a metade inferior da articulação do joelho acima e a protuberância interna do tornozelo abaixo.;;Enciclopédia Britânica;https://www.britannica.com/science/tibia;Acesso em maio de 2024;tibia
amídala;amígdala, pequena massa de tecido linfático localizada na parede da faringe, na parte posterior da garganta de humanos e outros mamíferos. em humanos, o termo é usado para designar qualquer um dos três conjuntos de tonsilas, mais comumente as tonsilas palatinas.;;Enciclopédia Britânica;https://www.britannica.com/science/tonsil;Acesso em maio de 2024;tonsil
olhos;;;Enciclopédia Britânica;https://www.britannica.com/science/eyes;Acesso em maio de 2024;eyes
peito;baú, a primeira forma de recipiente para guardar roupas, documentos, objetos de valor ou outros bens, e a peça de mobiliário mais importante da casa até o século xviii. às vezes, baús com tampo plano também eram usados ​​​​como assentos ou camas.;;Enciclopédia Britânica;https://www.britannica.com/science/chest;Acesso em maio de 2024;chest
tornozelo;tornozelo, em humanos, articulação sinovial do tipo dobradiça, de movimento livre entre o pé e a perna. o tornozelo contém sete ossos do tarso que se articulam (conectam) entre si, com os ossos metatarsais do pé e com os ossos da perna.;;Enciclopédia Britânica;https://www.britannica.com/science/ankle;Acesso em maio de 2024;ankle
traquéia;"traqueia, em vertebrados e invertebrados, um tubo ou sistema de tubos que transporta ar. nos insetos, em alguns aracnídeos terrestres e nos miriápodes, a traquéia é um sistema elaborado de pequenos tubos ramificados que transportam oxigênio para células individuais do corpo; na maioria dos vertebrados terrestres, a traqueia é a traqueia, que transporta o ar da laringe para os dois brônquios principais, tendo os pulmões e seus sacos aéreos como destino final.";;Enciclopédia Britânica;https://www.britannica.com/science/trachea;Acesso em maio de 2024;trachea
hipoderme;;;Enciclopédia Britânica;https://www.britannica.com/science/hypodermis;Acesso em maio de 2024;hypodermis
tumor;tumor, uma massa de tecido anormal que surge sem causa óbvia a partir de células preexistentes do corpo, não tem função intencional e é caracterizado por uma tendência ao crescimento independente e desenfreado. os tumores são bastante diferentes dos inchaços inflamatórios ou outros porque as células dos tumores têm aparência e outras características anormais.;;Enciclopédia Britânica;https://www.britannica.com/science/tumor;Acesso em maio de 2024;tumor
úmero;úmero, osso longo do membro superior ou membro anterior dos vertebrados terrestres que forma a articulação do ombro acima, onde se articula com uma depressão lateral da escápula (cavidade glenoidal da escápula), e a articulação do cotovelo abaixo, onde se articula com projeções de a ulna e o rádio.;;Enciclopédia Britânica;https://www.britannica.com/science/humerus;Acesso em maio de 2024;humerus
hipófise;;;Enciclopédia Britânica;https://www.britannica.com/science/hypophysis;Acesso em maio de 2024;hypophysis
hipotálamo;hipotálamo, região do cérebro situada abaixo do tálamo e que constitui o assoalho do terceiro ventrículo cerebral. o hipotálamo é parte integrante do cérebro.;;Enciclopédia Britânica;https://www.britannica.com/science/hypothalamus;Acesso em maio de 2024;hypothalamus
uretra;uretra, ducto que transmite a urina da bexiga para o exterior do corpo durante a micção. a uretra é mantida fechada pelo esfíncter uretral, uma estrutura muscular que ajuda a manter a urina na bexiga até que ocorra a micção.;;Enciclopédia Britânica;https://www.britannica.com/science/urethra;Acesso em maio de 2024;urethra
íleo;íleo, o segmento final e mais longo do intestino delgado. é especificamente responsável pela absorção da vitamina b12 e pela reabsorção dos sais biliares conjugados.;;Enciclopédia Britânica;https://www.britannica.com/science/ileum;Acesso em maio de 2024;ileum
ossos;;;Enciclopédia Britânica;https://www.britannica.com/science/bones;Acesso em maio de 2024;bones
óvulo;óvulo, na fisiologia humana, célula única liberada de qualquer um dos órgãos reprodutivos femininos, os ovários, que é capaz de se desenvolver em um novo organismo quando fertilizado (unido) com um espermatozóide.;;Enciclopédia Britânica;https://www.britannica.com/science/ovum;Acesso em maio de 2024;ovum
útero;útero, órgão muscular invertido em forma de pêra do sistema reprodutor feminino, localizado entre a bexiga e o reto. sua função é nutrir e abrigar um óvulo fertilizado até que o feto, ou prole, esteja pronto para nascer.;;Enciclopédia Britânica;https://www.britannica.com/science/uterus;Acesso em maio de 2024;uterus
infecção;;;Enciclopédia Britânica;https://www.britannica.com/science/infection;Acesso em maio de 2024;infection
palato;palato, na anatomia dos vertebrados, o céu da boca, separando as cavidades oral e nasal. consiste em um palato duro anterior de osso e, em mamíferos, um palato mole posterior que não tem suporte esquelético e termina em uma projeção carnuda e alongada chamada úvula.;;Enciclopédia Britânica;https://www.britannica.com/science/palate;Acesso em maio de 2024;palate
intestino;intestino, parte tubular do canal alimentar que se estende do estômago ao ânus. o intestino é o local da maioria dos processos digestivos químicos e o local onde os materiais alimentares digeridos são absorvidos para uso pelo corpo ou coletados nas fezes para eliminação.;;Enciclopédia Britânica;https://www.britannica.com/science/intestine;Acesso em maio de 2024;intestine
úvula;;;Enciclopédia Britânica;https://www.britannica.com/science/uvula;Acesso em maio de 2024;uvula
vagina;vagina, canal nas fêmeas de mamíferos que recebe as células reprodutivas masculinas, ou espermatozóides, e faz parte do canal de parto durante o processo de nascimento. nos humanos, também funciona como canal excretor para os produtos da menstruação.;;Enciclopédia Britânica;https://www.britannica.com/science/vagina;Acesso em maio de 2024;vagina
pâncreas;pâncreas, glândula composta que descarrega enzimas digestivas no intestino e secreta os hormônios insulina e glucagon, vitais no metabolismo dos carboidratos (açúcar), na corrente sanguínea.;;Enciclopédia Britânica;https://www.britannica.com/science/pancreas;Acesso em maio de 2024;pancreas
peito;baú, a primeira forma de recipiente para guardar roupas, documentos, objetos de valor ou outros bens, e a peça de mobiliário mais importante da casa até o século xviii. às vezes, baús com tampo plano também eram usados ​​​​como assentos ou camas.;;Enciclopédia Britânica;https://www.britannica.com/science/chest;Acesso em maio de 2024;chest
pele;;;Enciclopédia Britânica;https://www.britannica.com/science/skin;Acesso em maio de 2024;skin
pênis;pênis, o órgão copulador do macho dos vertebrados superiores que nos mamíferos geralmente também fornece o canal pelo qual a urina sai do corpo. a estrutura correspondente nos invertebrados inferiores é frequentemente chamada de cirro.;;Enciclopédia Britânica;https://www.britannica.com/science/penis;Acesso em maio de 2024;penis
pericárdio;;;Enciclopédia Britânica;https://www.britannica.com/science/pericardium;Acesso em maio de 2024;pericardium
períneo;;;Enciclopédia Britânica;https://www.britannica.com/science/perineum;Acesso em maio de 2024;perineum
periósteo;periósteo, membrana fibrosa densa que cobre as superfícies dos ossos, constituída por uma camada fibrosa externa e uma camada celular interna (câmbio). a camada externa é composta principalmente de colágeno e contém fibras nervosas que causam dor quando o tecido é danificado.;;Enciclopédia Britânica;https://www.britannica.com/science/periosteum;Acesso em maio de 2024;periosteum
pernas;;;Enciclopédia Britânica;https://www.britannica.com/science/legs;Acesso em maio de 2024;legs
virilha;virilha, na engenharia costeira, uma estrutura longa e estreita construída na água a partir de uma praia, a fim de evitar a erosão da praia ou para reter e acumular areia que, de outra forma, flutuaria ao longo da face da praia e da zona costeira sob a influência das ondas que se aproximam da praia em um ângulo. um esporão pode ter sucesso na estabilização de uma praia no lado da corrente ascendente, mas a erosão tende a ser agravada no lado da corrente descendente, que é privado pela estrutura do espigão de reabastecimento pela areia flutuante.;;Enciclopédia Britânica;https://www.britannica.com/science/groin;Acesso em maio de 2024;groin
vírus;um vírus é um agente infeccioso de pequeno tamanho e composição simples que pode se multiplicar apenas em células vivas de animais, plantas ou bactérias.;;Enciclopédia Britânica;https://www.britannica.com/science/virus;Acesso em maio de 2024;virus
jejuno;;;Enciclopédia Britânica;https://www.britannica.com/science/jejunum;Acesso em maio de 2024;jejunum
joelho;joelho, articulação que é formada pelo encontro do osso da coxa (fêmur) e do osso maior (tíbia) da perna. o joelho é a maior articulação do corpo e tem que suportar as maiores tensões, pois suporta todo o peso do corpo acima dele.;;Enciclopédia Britânica;https://www.britannica.com/science/knee;Acesso em maio de 2024;knee
lábios;lábios, estruturas anatômicas macias e flexíveis que formam a margem da boca da maioria dos vertebrados, compostas por uma epiderme superficial (pele), tecido conjuntivo e (em mamíferos típicos) uma camada muscular.;;Enciclopédia Britânica;https://www.britannica.com/science/lips;Acesso em maio de 2024;lips
laringe;"laringe, uma estrutura tubular oca conectada ao topo da traqueia (traqueia); o ar passa pela laringe a caminho dos pulmões. a laringe também produz sons vocais e impede a passagem de alimentos e outras partículas estranhas para o trato respiratório inferior.";;Enciclopédia Britânica;https://www.britannica.com/science/larynx;Acesso em maio de 2024;larynx
piloro;piloro, constrição em forma de cone no trato gastrointestinal que demarca o final do estômago e o início do intestino delgado. as principais funções do piloro são impedir que o conteúdo intestinal reentre no estômago quando o intestino delgado se contrai e limitar a passagem de grandes partículas de alimentos ou materiais não digeridos para o intestino.;;Enciclopédia Britânica;https://www.britannica.com/science/pylorus;Acesso em maio de 2024;pylorus
vulva;"vulva, a genitália feminina externa que circunda a abertura da vagina; coletivamente, eles consistem nos grandes lábios, nos pequenos lábios, no clitóris, no vestíbulo da vagina, no bulbo do vestíbulo e nas glândulas de bartholin. todos esses órgãos estão localizados na frente do ânus e abaixo do monte púbico (a almofada de tecido adiposo na junção anterior dos ossos pélvicos).";;Enciclopédia Britânica;https://www.britannica.com/science/vulva;Acesso em maio de 2024;vulva
pleura;pleura, membrana que reveste a cavidade torácica (pleura parietal) e cobre os pulmões (pleura visceral). a pleura parietal dobra-se sobre si mesma na raiz do pulmão para se tornar a pleura visceral.;;Enciclopédia Britânica;https://www.britannica.com/science/pleura;Acesso em maio de 2024;pleura
prepúcio;;;Enciclopédia Britânica;https://www.britannica.com/science/foreskin;Acesso em maio de 2024;foreskin
pulmões;;;Enciclopédia Britânica;https://www.britannica.com/science/lungs;Acesso em maio de 2024;lungs
mandíbula;mandíbula, qualquer um de um par de ossos que formam a estrutura da boca dos animais vertebrados, geralmente contendo dentes e incluindo uma mandíbula inferior móvel (mandíbula) e uma mandíbula superior fixa (maxila). as mandíbulas funcionam movendo-se em oposição umas às outras e são usadas para morder, mastigar e manusear alimentos.;;Enciclopédia Britânica;https://www.britannica.com/science/jaw;Acesso em maio de 2024;jaw
mandíbula;mandíbula, qualquer um de um par de ossos que formam a estrutura da boca dos animais vertebrados, geralmente contendo dentes e incluindo uma mandíbula inferior móvel (mandíbula) e uma mandíbula superior fixa (maxila). as mandíbulas funcionam movendo-se em oposição umas às outras e são usadas para morder, mastigar e manusear alimentos.;;Enciclopédia Britânica;https://www.britannica.com/science/jaw;Acesso em maio de 2024;jaw
meninges;meninges, três envelopes membranosos - pia-máter, aracnóide e dura-máter - que circundam o cérebro e a medula espinhal. o líquido cefalorraquidiano preenche os ventrículos do cérebro e o espaço entre a pia-máter e a aracnóide.;;Enciclopédia Britânica;https://www.britannica.com/science/meninges;Acesso em maio de 2024;meninges
mesentério;mesentério, uma faixa dobrada contínua de tecido membranoso (peritônio) que está fixada à parede do abdômen e envolve as vísceras. nos humanos, o mesentério envolve o pâncreas e o intestino delgado e se estende ao redor do cólon e da porção superior do reto.;;Enciclopédia Britânica;https://www.britannica.com/science/mesentery;Acesso em maio de 2024;mesentery
miocárdio;;;Enciclopédia Britânica;https://www.britannica.com/science/myocardium;Acesso em maio de 2024;myocardium
nariz;nariz, a estrutura proeminente entre os olhos que serve de entrada para o trato respiratório e contém o órgão olfativo. fornece ar para a respiração, serve ao sentido do olfato, condiciona o ar filtrando, aquecendo e umedecendo-o e limpa-se de detritos estranhos extraídos das inalações.;;Enciclopédia Britânica;https://www.britannica.com/science/nose;Acesso em maio de 2024;nose
nasofaringe;;;Enciclopédia Britânica;https://www.britannica.com/science/nasopharynx;Acesso em maio de 2024;nasopharynx
néfron;néfron, unidade funcional do rim, estrutura que realmente produz a urina no processo de remoção de resíduos e excesso de substâncias do sangue. existem cerca de 1.;;Enciclopédia Britânica;https://www.britannica.com/science/nephron;Acesso em maio de 2024;nephron
quadril;"quadril, em anatomia, a articulação entre o fêmur (fêmur) e a pelve; também a área adjacente a esta articulação. a articulação do quadril é uma articulação esférica; a cabeça redonda do fêmur repousa em uma cavidade (acetábulo) que permite a rotação livre do membro.";;Enciclopédia Britânica;https://www.britannica.com/science/hip;Acesso em maio de 2024;hip
aborto espontâneo;aborto espontâneo, expulsão espontânea do embrião ou feto do útero antes da 20ª semana de gravidez, antes de o concepto ter se desenvolvido o suficiente para viver sem apoio materno. estima-se que 10 a 25 por cento das gravidezes reconhecidas são perdidas como resultado de um aborto espontâneo, sendo o risco de perda mais elevado nas primeiras seis semanas de gravidez.;;Enciclopédia Britânica;https://www.britannica.com/science/miscarriage;Acesso em maio de 2024;miscarriage
abscesso;abscesso, coleção localizada de pus em uma cavidade formada por tecidos que foram destruídos por bactérias infecciosas. um abscesso é causado quando bactérias como estafilococos ou estreptococos obtêm acesso a tecidos sólidos (por exemplo, por meio de um pequeno ferimento na pele).;;Enciclopédia Britânica;https://www.britannica.com/science/abscess;Acesso em maio de 2024;abscess
abuso infantil;"abuso infantil, a imposição intencional de dor e sofrimento a crianças por meio de maus-tratos físicos, sexuais ou emocionais. antes da década de 1970, o termo abuso infantil normalmente referia-se apenas aos maus-tratos físicos, mas desde então a sua aplicação expandiu-se para incluir, além da violência física excessiva, o abuso verbal injustificável; a falha em fornecer abrigo, alimentação, tratamento médico ou apoio emocional adequados; incesto e outros casos de abuso sexual, molestamento ou estupro; e a utilização de crianças na prostituição ou na pornografia.";;Enciclopédia Britânica;https://www.britannica.com/science/child-abuse;Acesso em maio de 2024;child-abuse
acne;acne, qualquer doença inflamatória das glândulas sebáceas ou oleosas da pele. existem cerca de 50 tipos diferentes de acne.;;Enciclopédia Britânica;https://www.britannica.com/science/acne;Acesso em maio de 2024;acne
aconselhamento genético;aconselhamento genético, em medicina, processo de comunicação em que um profissional especialmente treinado se reúne com um indivíduo, casal ou família afetado por uma doença genética ou que corre o risco de transmitir uma doença hereditária.;;Enciclopédia Britânica;https://www.britannica.com/science/genetic-counseling;Acesso em maio de 2024;genetic-counseling
acupuntura;acupuntura, antiga técnica médica chinesa para aliviar a dor, curar doenças e melhorar a saúde geral. foi concebido antes de 2.;;Enciclopédia Britânica;https://www.britannica.com/science/acupuncture;Acesso em maio de 2024;acupuncture
adenóides;adenóides, uma massa de tecido linfático, semelhante às tonsilas (palatinas), que está fixada na parede posterior da faringe nasal (ou seja, a parte superior da garganta abrindo-se para a cavidade nasal propriamente dita). uma dobra individual desse tecido linfático nasofaríngeo é chamada de adenóide.;;Enciclopédia Britânica;https://www.britannica.com/science/adenoids;Acesso em maio de 2024;adenoids
afogamento;afogamento, asfixia por imersão em um líquido, geralmente água. a água que se fecha sobre a boca e o nariz da vítima corta o fornecimento de oxigénio ao corpo.;;Enciclopédia Britânica;https://www.britannica.com/science/drowning;Acesso em maio de 2024;drowning
alergia;alergia, reação de hipersensibilidade do corpo a substâncias estranhas (antígenos) que em quantidades e circunstâncias semelhantes são inofensivas no corpo de outras pessoas.;;Enciclopédia Britânica;https://www.britannica.com/science/allergy;Acesso em maio de 2024;allergy
alergia alimentar;alergia alimentar, resposta imunológica a um alimento. embora a verdadeira prevalência da alergia alimentar não seja clara, estudos indicam que cerca de 1 a 5 por cento das pessoas têm uma alergia clinicamente comprovada a um alimento.;;Enciclopédia Britânica;https://www.britannica.com/science/food-allergy;Acesso em maio de 2024;food-allergy
ambliopia;ambliopia, redução da visão em um ou ambos os olhos devido a experiência visual anormal na primeira infância, levando a alterações funcionais nos centros visuais do cérebro. essas alterações resultam de problemas oculares que degradam ou distorcem as imagens recebidas pelo cérebro.;;Enciclopédia Britânica;https://www.britannica.com/science/amblyopia;Acesso em maio de 2024;amblyopia
