Termo,Parágrafo,Data_acesso,Fonte,Link,Titulo
epiglottis,"A epiglote, na parte superior da laringe, é uma projeção em forma de aba na garganta. À medida que o alimento é engolido, toda a estrutura da laringe sobe até a epiglote, bloqueando a passagem para o trato respiratório. Depois que o alimento passa para o esôfago (tubo alimentar), a laringe relaxa e retoma sua posição natural.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/epiglottis,Epiglote
metacarpal,"metacarpo, qualquer um dos vários ossos tubulares entre os ossos do punho (carpo) e cada um dos dedos dos membros anteriores nos vertebrados terrestres, correspondendo aos ossos metatarsais do pé. originalmente em número de cinco, os metacarpos de muitos mamíferos sofreram muitas mudanças e reduções durante a evolução. a perna do cavalo, por exemplo, inclui apenas um metacarpo fortalecido; os dois ossos da tala atrás e acima do casco são metacarpos reduzidos, e os dois metacarpos originais restantes foram perdidos. nos humanos, os cinco metacarpos são planos nas costas da mão e curvados no lado palmar; eles formam um arco longitudinal que acomoda os músculos, tendões e nervos da palma. os metacarpos também formam um arco transversal que permite unir as pontas dos dedos e o polegar para manipulação.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/metacarpal,Metacarpo
pharynx,"faringe, passagem em forma de cone que vai das cavidades oral e nasal na cabeça até o esôfago e a laringe. a câmara da faringe desempenha funções respiratórias e digestivas. fibras grossas de músculo e tecido conjuntivo fixam a faringe à base do crânio e às estruturas circundantes. os músculos circulares e longitudinais ocorrem nas paredes da faringe; os músculos circulares formam constrições que ajudam a empurrar o alimento para o esôfago e evitam que o ar seja engolido, enquanto as fibras longitudinais levantam as paredes da faringe durante a deglutição.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/pharynx,Faringe
liver,"fígado, a maior glândula do corpo, uma massa esponjosa de lóbulos em forma de cunha que tem muitas funções metabólicas e secretoras. o fígado secreta bile, um fluido digestivo; metaboliza proteínas, carboidratos e gorduras; armazena glicogênio, vitaminas e outras substâncias; sintetiza fatores de coagulação sanguínea; remove resíduos e substâncias tóxicas do sangue; regula o volume sanguíneo; e destrói glóbulos vermelhos velhos.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/liver,Fígado
fat,"gordura, qualquer substância de origem vegetal ou animal não volátil, insolúvel em água e oleosa ou gordurosa ao toque. as gorduras são geralmente sólidas em temperaturas normais, como 25 °c (77 °f), mas começam a se liquefazer em temperaturas um pouco mais altas. quimicamente, as gorduras são idênticas aos óleos animais e vegetais, consistindo principalmente de glicerídeos, que são ésteres formados pela reação de três moléculas de ácidos graxos com uma molécula de glicerol (ver óleo).",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/fat,Gordura
hemoglobin,"hemoglobina, proteína contendo ferro no sangue de muitos animais - nos glóbulos vermelhos (eritrócitos) dos vertebrados - que transporta oxigênio para os tecidos. a hemoglobina forma uma ligação reversível instável com o oxigênio. no estado oxigenado, é chamado de oxiemoglobina e é vermelho brilhante; no estado reduzido, é azul púrpura.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/hemoglobin,Hemoglobina
cardia,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/cardia,Cárdia
cecum,"ceco, bolsa ou grande estrutura tubular na cavidade abdominal inferior que recebe material alimentar não digerido do intestino delgado e é considerada a primeira região do intestino grosso. ele é separado do íleo (a porção final do intestino delgado) pela válvula ileocecal (também chamada de válvula bauhin), que limita a taxa de passagem do alimento para o ceco e pode ajudar a impedir que o material retorne ao intestino delgado.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/cecum,Ceco
cerebellum,"cerebelo, seção do cérebro que coordena a entrada sensorial com as respostas musculares, localizada logo abaixo e atrás dos hemisférios cerebrais e acima da medula oblonga.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/cerebellum,Cerebelo
brain,"cérebro, a massa de tecido nervoso na extremidade anterior de um organismo. o cérebro integra informações sensoriais e direciona as respostas motoras; nos vertebrados superiores é também o centro da aprendizagem. o cérebro humano pesa aproximadamente 1,4 kg (3 libras) e é composto por bilhões de células chamadas neurônios. as junções entre neurônios, conhecidas como sinapses, permitem que mensagens elétricas e químicas sejam transmitidas de um neurônio para outro no cérebro, um processo subjacente às funções sensoriais básicas e que é fundamental para o aprendizado, a memória e a formação do pensamento, e outras atividades cognitivas. o cérebro e a medula espinhal juntos constituem o sistema de tecido nervoso nos vertebrados chamado sistema nervoso central, que controla tanto os movimentos voluntários, como os envolvidos na caminhada e na fala, quanto os movimentos involuntários, como a respiração e as ações reflexas. também é o centro da emoção e da cognição. (para obter mais informações sobre o cérebro humano, consulte sistema nervoso humano.)",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/brain,Cérebro
cervix,"colo do útero, região mais baixa do útero; fixa o útero à vagina e fornece uma passagem entre a cavidade vaginal e a cavidade uterina. o colo do útero, com apenas cerca de 4 centímetros (1,6 polegadas) de comprimento, projeta-se cerca de 2 centímetros na cavidade vaginal superior. a abertura cervical na vagina é chamada de orifício externo; a cavidade que percorre toda a extensão do colo do útero é o canal endocervical; a abertura do canal endocervical na cavidade uterina, o orifício interno. o canal endocervical transporta os espermatozoides para a cavidade uterina, permite o escape do sangue do útero durante a menstruação e fornece muco (uma proteína espessa e lubrificante) ao trato reprodutor feminino. durante o parto, o canal fica muito esticado (ver parto).",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/cervix,Colo do Útero
eyelash,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/eyelash,Cílio
clitoris,"clitóris, órgão erógeno feminino capaz de ereção sob estimulação sexual. homólogo feminino do pênis masculino, o clitóris se desenvolve (assim como o pênis) a partir do tubérculo genital do feto e desempenha um papel importante na resposta sexual feminina.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/clitoris,Clitóris
cochlea,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/cochlea,Cóclea
heart,"nos humanos, o coração está situado entre os dois pulmões e ligeiramente à esquerda do centro, atrás do esterno. apoia-se no diafragma, a partição muscular entre o tórax e a cavidade abdominal.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/heart,Coração
cornea,"córnea, membrana transparente em forma de cúpula com cerca de 12 mm (0,5 polegada) de diâmetro que cobre a parte frontal do olho. exceto nas margens, a córnea não contém vasos sanguíneos, mas contém muitos nervos e é muito sensível à dor ou ao toque. é nutrido e fornecido de oxigênio anteriormente pelas lágrimas e é banhado posteriormente pelo humor aquoso. protege a pupila, a íris e o interior do olho da penetração de corpos estranhos e é o primeiro e mais poderoso elemento do sistema de focagem do olho. à medida que a luz passa pela córnea, ela é parcialmente refratada antes de atingir o cristalino. a curvatura da córnea, que é esférica na infância, mas muda com a idade, confere-lhe o seu poder de focagem; quando a curva se torna irregular, causa um defeito de focagem chamado astigmatismo, no qual as imagens aparecem alongadas ou distorcidas.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/cornea,Córnea
semen,"sêmen, fluido que é emitido pelo trato reprodutor masculino e que contém espermatozoides, que são capazes de fertilizar os óvulos da fêmea. o sêmen também contém líquidos que se combinam para formar o plasma seminal, o que ajuda a manter os espermatozoides viáveis.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/semen,Sêmen
septum,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/septum,Septo
sacrum,"sacro, osso triangular em forma de cunha na base da coluna vertebral, acima das vértebras caudais (cauda), ou cóccix, que se articula (conecta) com a cintura pélvica. nos humanos é geralmente composto por cinco vértebras, que se fundem no início da idade adulta. o topo da primeira vértebra sacral (superior) articula-se com a última vértebra lombar (mais baixa). os processos transversos das três primeiras vértebras sacrais são fundidos para formar largas asas laterais, ou asas, e articulam-se com as porções centrais das costas das lâminas dos ílios para completar a cintura pélvica. o sacro é mantido nessa articulação, chamada sacroilíaca, por uma complexa rede de ligamentos. entre os processos transversos fundidos das vértebras sacrais inferiores, de cada lado, há uma série de quatro aberturas (forames sacrais); os nervos sacrais e os vasos sanguíneos passam por essas aberturas. um canal sacral que desce pelo centro do sacro representa a extremidade do canal vertebral; a medula espinhal funcional termina aproximadamente no nível da primeira vértebra sacral, mas sua continuação, o filum terminale, pode ser rastreada através do sacro até a primeira vértebra coccígea. veja também coluna vertebral.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/sacrum,Sacro
sinus,"seio, em anatomia, uma cavidade, cavidade, recesso ou bolsa; um grande canal contendo sangue; um trato supurante; ou uma cavidade dentro de um osso. dois tipos de seios da face, os seios cheios de sangue e os seios cheios de ar, são discutidos neste artigo.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/sinus,Seio
thalamus,"tálamo, um par de grandes órgãos ovóides que formam a maior parte das paredes laterais do terceiro ventrículo do cérebro. o tálamo traduz impulsos neurais de vários receptores para o córtex cerebral. embora o tálamo seja classicamente conhecido por seu papel como retransmissor sensorial nos sistemas visual, auditivo, somatossensorial e gustativo, ele também desempenha papéis significativos na atividade motora, emoção, memória, excitação e outras funções de associação sensório-motora.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/thalamus,Tálamo
hippocampus,"hipocampo, região do cérebro associada principalmente à memória. o nome hipocampo é derivado do grego hippokampus (hipopótamos, que significa ""cavalo"", e kampos, que significa ""monstro marinho""), uma vez que o formato da estrutura lembra o de um cavalo-marinho. o hipocampo, localizado na região interna (medial) do lobo temporal, faz parte do sistema límbico, que é particularmente importante na regulação das respostas emocionais. acredita-se que o hipocampo esteja principalmente envolvido no armazenamento de memórias de longo prazo e em torná-las resistentes ao esquecimento, embora isso seja uma questão controversa. acredita-se também que desempenhe um papel importante no processamento espacial e na navegação.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/hippocampus,Hipocampo
tibia,"tíbia, interno e maior dos dois ossos da perna nos vertebrados - o outro é a fíbula. nos humanos, a tíbia forma a metade inferior da articulação do joelho acima e a protuberância interna do tornozelo abaixo. a parte superior consiste em duas proeminências, ou côndilos, de topo bastante achatado, que se articulam com os côndilos do fêmur, acima. a fixação do ligamento da rótula, ou patela, à tuberosidade da tíbia na frente completa a articulação do joelho. o côndilo lateral é maior e inclui o ponto de articulação da fíbula. a haste da tíbia tem seção transversal aproximadamente triangular; suas marcações são influenciadas pela força dos músculos inseridos. está ligado à fíbula em todo o seu comprimento por uma membrana interóssea.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/tibia,Tíbia
tonsil,"amígdala, pequena massa de tecido linfático localizada na parede da faringe, na parte posterior da garganta de humanos e outros mamíferos. em humanos, o termo é usado para designar qualquer um dos três conjuntos de tonsilas, mais comumente as tonsilas palatinas. trata-se de um par de massas ovais que se projetam de cada lado da faringe oral, atrás da cavidade bucal. a superfície exposta de cada amígdala é marcada por numerosas depressões que levam ao tecido linfático mais profundo. os detritos freqüentemente se alojam nas fossas e causam inflamação, uma condição chamada amigdalite.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/tonsil,Amídala
eyes,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/eyes,Olhos
chest,"baú, a primeira forma de recipiente para guardar roupas, documentos, objetos de valor ou outros bens, e a peça de mobiliário mais importante da casa até o século xviii. às vezes, baús com tampo plano também eram usados ​​​​como assentos ou camas.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/chest,Peito
ankle,"tornozelo, em humanos, articulação sinovial do tipo dobradiça, de movimento livre entre o pé e a perna. o tornozelo contém sete ossos do tarso que se articulam (conectam) entre si, com os ossos metatarsais do pé e com os ossos da perna. a articulação de um dos ossos do tarso, o osso do tornozelo (tálus ou astrágalo), com a fíbula e a tíbia da perna forma a verdadeira articulação do tornozelo, embora a região geral seja frequentemente chamada de tornozelo. os principais movimentos do tornozelo são flexão e extensão. como outras articulações sinoviais (aquelas nas quais há presença de líquido), o tornozelo está sujeito a doenças e lesões como bursite e sinovite.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/ankle,Tornozelo
trachea,"traqueia, em vertebrados e invertebrados, um tubo ou sistema de tubos que transporta ar. nos insetos, em alguns aracnídeos terrestres e nos miriápodes, a traquéia é um sistema elaborado de pequenos tubos ramificados que transportam oxigênio para células individuais do corpo; na maioria dos vertebrados terrestres, a traqueia é a traqueia, que transporta o ar da laringe para os dois brônquios principais, tendo os pulmões e seus sacos aéreos como destino final. em algumas aves, como o cisne, há um comprimento extra de tubo traqueal enrolado sob a parte frontal da caixa torácica. as estruturas cartilaginosas que circundam a maioria das traqueias dos mamíferos são reduzidas a pequenos nódulos irregulares nos anfíbios.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/trachea,Traquéia
hypodermis,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/hypodermis,Hipoderme
tumor,"tumor, uma massa de tecido anormal que surge sem causa óbvia a partir de células preexistentes do corpo, não tem função intencional e é caracterizado por uma tendência ao crescimento independente e desenfreado. os tumores são bastante diferentes dos inchaços inflamatórios ou outros porque as células dos tumores têm aparência e outras características anormais. as células anormais - o tipo que geralmente constitui os tumores - diferem das células normais por terem sofrido uma ou mais das seguintes alterações: (1) hipertrofia ou aumento no tamanho das células individuais; esse recurso é encontrado ocasionalmente em tumores, mas ocorre comumente em outras condições; (2) hiperplasia, ou aumento do número de células dentro de uma determinada zona; em alguns casos pode constituir o único critério de formação de tumor; (3) anaplasia, ou regressão das características físicas de uma célula em direção a um tipo mais primitivo ou indiferenciado; esta é uma característica quase constante dos tumores malignos, embora ocorra em outros casos, tanto na saúde como na doença.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/tumor,Tumor
humerus,"úmero, osso longo do membro superior ou membro anterior dos vertebrados terrestres que forma a articulação do ombro acima, onde se articula com uma depressão lateral da escápula (cavidade glenoidal da escápula), e a articulação do cotovelo abaixo, onde se articula com projeções de a ulna e o rádio.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/humerus,Úmero
hypophysis,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/hypophysis,Hipófise
hypothalamus,"hipotálamo, região do cérebro situada abaixo do tálamo e que constitui o assoalho do terceiro ventrículo cerebral. o hipotálamo é parte integrante do cérebro. é uma pequena estrutura em forma de cone que se projeta para baixo a partir do cérebro, terminando no pedúnculo hipofisário (infundibular), uma conexão tubular com a glândula pituitária. o hipotálamo contém um centro de controle para muitas funções do sistema nervoso autônomo e tem efeitos no sistema endócrino devido à sua complexa interação com a glândula pituitária.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/hypothalamus,Hipotálamo
urethra,"uretra, ducto que transmite a urina da bexiga para o exterior do corpo durante a micção. a uretra é mantida fechada pelo esfíncter uretral, uma estrutura muscular que ajuda a manter a urina na bexiga até que ocorra a micção.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/urethra,Uretra
ileum,"íleo, o segmento final e mais longo do intestino delgado. é especificamente responsável pela absorção da vitamina b12 e pela reabsorção dos sais biliares conjugados. o íleo tem cerca de 3,5 metros (11,5 pés) de comprimento (ou cerca de três quintos do comprimento do intestino delgado) e se estende do jejuno (a seção intermediária do intestino delgado) até a válvula ileocecal, que deságua no cólon (grande). intestino ). o íleo está suspenso da parede abdominal pelo mesentério, uma prega de membrana serosa (secretora de umidade).",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/ileum,Íleo
bones,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/bones,Ossos
ovum,"óvulo, na fisiologia humana, célula única liberada de qualquer um dos órgãos reprodutivos femininos, os ovários, que é capaz de se desenvolver em um novo organismo quando fertilizado (unido) com um espermatozóide.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/ovum,Óvulo
uterus,"útero, órgão muscular invertido em forma de pêra do sistema reprodutor feminino, localizado entre a bexiga e o reto. sua função é nutrir e abrigar um óvulo fertilizado até que o feto, ou prole, esteja pronto para nascer.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/uterus,Útero
infection,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/infection,Infecção
palate,"palato, na anatomia dos vertebrados, o céu da boca, separando as cavidades oral e nasal. consiste em um palato duro anterior de osso e, em mamíferos, um palato mole posterior que não tem suporte esquelético e termina em uma projeção carnuda e alongada chamada úvula.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/palate,Palato
intestine,"intestino, parte tubular do canal alimentar que se estende do estômago ao ânus. o intestino é o local da maioria dos processos digestivos químicos e o local onde os materiais alimentares digeridos são absorvidos para uso pelo corpo ou coletados nas fezes para eliminação. a parte anterior do intestino, que está ligada ao estômago, é chamada de intestino delgado. é seguido por um segmento mais curto e mais largo denominado intestino grosso, que termina no ânus.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/intestine,Intestino
uvula,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/uvula,Úvula
vagina,"vagina, canal nas fêmeas de mamíferos que recebe as células reprodutivas masculinas, ou espermatozóides, e faz parte do canal de parto durante o processo de nascimento. nos humanos, também funciona como canal excretor para os produtos da menstruação.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/vagina,Vagina
pancreas,"pâncreas, glândula composta que descarrega enzimas digestivas no intestino e secreta os hormônios insulina e glucagon, vitais no metabolismo dos carboidratos (açúcar), na corrente sanguínea.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/pancreas,Pâncreas
skin,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/skin,Pele
penis,"pênis, o órgão copulador do macho dos vertebrados superiores que nos mamíferos geralmente também fornece o canal pelo qual a urina sai do corpo. a estrutura correspondente nos invertebrados inferiores é frequentemente chamada de cirro.",Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/penis,Pênis
pericardium,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/pericardium,Pericárdio
perineum,,Acesso em maio de 2024,Enciclopédia Britânica,https://www.britannica.com/science/perineum,Períneo
